	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
fbrace														Father's Bridged Race R**	Father's Bridged Race R**	Father's Bridged Race R**	Father's Bridged Race R**	Father's Bridged Race R**	Father's Bridged Race R**	Father's Bridged Race R**	Father's Bridged Race R**	Father's Bridged Race R**	Father's Bridged Race R**	Father's Bridged Race R**	Bridged Race Father 1 White	Bridged Race Father 1 White	Bridged Race Father 1 White	Bridged Race Father 1 White	Bridged Race Father 1 White
febrile	Febrile	Febrile	Febrile	Febrile	Febrile	Febrile	Febrile	Febrile	Febrile	Febrile	Febrile	Febrile (&gt;100 degrees F.  or 38 degrees C.)	Febrile (&gt;100 degrees F.  or 38 degrees C.)																
feduc																				Father's Education  572=f_feduc R	Father's Education  572=f_feduc R	Father's Education  572=f_feduc R	Father's Education  572=f_feduc R	Father's Education  572=f_feduc R	Father's Education 1 8th grade or less	Father's Education 1 8th grade or less	Father's Education 1 8th grade or less	Father's Education 1 8th grade or less	Father's Education 1 8th grade or less
feduc6	Education of Father Recode 6	Education of Father Recode 6	Education of Father Recode 6	Education of Father Recode 6	Education of Father Recode 6																								
fhisp_r																									Father's Hispanic Origin Recode 0 Non-Hispanic	Father's Hispanic Origin Recode 0 Non-Hispanic	Father's Hispanic Origin Recode 0 Non-Hispanic	Father's Hispanic Origin Recode 0 Non-Hispanic	Father's Hispanic Origin Recode 0 Non-Hispanic
flgbwimp												Imputed Birthweight Flag	Imputed Birthweight Flag																
fmaps	Five Minute Apgar Score	Five Minute Apgar Score	Five Minute Apgar Score	Five Minute Apgar Score	Five Minute Apgar Score	Five Minute Apgar Score	Five Minute Apgar Score	Five Minute Apgar Score	Five Minute Apgar Score	Five Minute Apgar Score	Five Minute Apgar Score	Five Minute Apgar Score	Five Minute Apgar Score																
fmapsr	Five Minute Apgar Score Recode	Five Minute Apgar Score Recode	Five Minute Apgar Score Recode	Five Minute Apgar Score Recode	Five Minute Apgar Score Recode	Five Minute Apgar Score Recode	Five Minute Apgar Score Recode	Five Minute Apgar Score Recode	Five Minute Apgar Score Recode	Five Minute Apgar Score Recode	Five Minute Apgar Score Recode	Five Minute Apgar Score Recode	Five Minute Apgar Score Recode																
fmapsrf	5-minute Apgar score	5-minute Apgar score	5-minute Apgar score	5-minute Apgar score	5-minute Apgar score	5-minute Apgar score	5-minute Apgar score	5-minute Apgar score	5-minute Apgar score	5-minute Apgar score	5-minute Apgar score	5 - minute Apgar score	5 - minute Apgar score																
forcep	Forceps	Forceps	Forceps	Forceps	Forceps	Forceps	Forceps	Forceps	Forceps	Forceps	Forceps	Forceps	Forceps																
frace	Race of Father	Race of Father	Race of Father (Codes 18-68 and 78 are new)	Race of Father	Race of Father	Race of Father	Race of Father	Race of Father	Race of Father	Race of Father	Race of Father	Race of Father	Race of Father	Father's Race U	Father's Race U	Father's Race U	Father's Race U	Father's Race U	Father's Race U	Father's Race U	Father's Race U	Father's Race U	Father's Race U	Father's Race U					
frace15																									Father's Race Recode 15 01 White (only)	Father's Race Recode 15 01 White (only)	Father's Race Recode 15 01 White (only)	Father's Race Recode 15 01 White (only)	Father's Race Recode 15 01 White (only)
frace1e																													
frace2e																													
frace31																									Father's Race Recode 31 01 White (only) [only one ra	Father's Race Recode 31 01 White (only) [only one race	Father's Race Recode 31 01 White (only) [only one race	Father's Race Recode 31 01 White (only) [only one race	Father's Race Recode 31 01 White (only) [only one race
frace3e																													
frace4	Race of Father Recode	Race of Father Recode	Race of Father Recode	Race of Father Recode	Race of Father Recode	Race of Father Recode	Race of Father Recode	Race of Father Recode	Race of Father Recode	Race of Father Recode	Race of Father Recode	Race of Father Recode	Race of Father Recode																
frace4e																													
frace5e																													
frace6																									Father's Race Recode 6 1 White (only)	Father's Race Recode 6 1 White (only)	Father's Race Recode 6 1 White (only)	Father's Race Recode 6 1 White (only)	Father's Race Recode 6 1 White (only)
frace6e																													
frace7e																													
frace8e																													
fracehisp														Father's Race/Hispanic Origin U;R	Father's Race/Hispanic Origin U;R	Father's Race/Hispanic Origin RFP 570=f_forigin U;R	Father's Race/Hispanic Origin RFP 570=f_forigin U;R	Father's Race/Hispanic Origin RFP 570=f_forigin U;R	Father's Race/Hispanic Origin RFP 570=f_forigin U;R	Father's Race/Hispanic Origin RFP 570=f_forigin U;R	Father's Race/Hispanic Origin RFP 570=f_forigin U;R	Father's Race/Hispanic Origin RFP 570=f_forigin U;R	Father's Race/Hispanic Origin RFP 570=f_forigin U;R	Father's Race/Hispanic Origin RFP 570=f_forigin U;R	Father's Race/Hispanic Origin 1 Non-Hispanic White (only)	Father's Race/Hispanic Origin 1 Non-Hispanic White (only)	Father's Race/Hispanic Origin 1 Non-Hispanic White (only)	Father's Race/Hispanic Origin 1 Non-Hispanic White (only)	Father's Race/Hispanic Origin 1 Non-Hispanic White (only)
fraceimp			Race of Father Imputation Flag	Race of Father Imputation Flag	Race of Father Imputation Flag	Race of Father Imputation Flag	Race of Father Imputation Flag	Race of Father Imputation Flag	Race of Father Imputation Flag	Race of Father Imputation Flag	Race of Father Imputation Flag	Race of Father Imputation Flag	Race of Father Imputation Flag	Father's Race Imputed U	Father's Race Imputed U														
fracerec														Father's Race Recode U;R	Father's Race Recode U;R	Father's Race Recode U;R	Father's Race Recode U;R	Father's Race Recode U;R	Father's Race Recode U;R	Father's Race Recode U;R	Father's Race Recode U;R	Father's Race Recode U;R	Father's Race Recode U;R	Father's Race Recode U;R					
gastro	Other gastrointestinal anomalies	Other gastrointestinal anomalies	Other gastrointestinal anomalies	Other gastrointestinal anomalies	Other gastrointestinal anomalies	Other gastrointestinal anomalies	Other gastrointestinal anomalies	Other gastrointestinal anomalies	Other gastrointestinal anomalies	Other gastrointestinal anomalies	Other gastrointestinal anomalies	Other gastrointestinal anomalies	Other gastrointestinal anomalies																
genital	Malformed genitalia	Malformed genitalia	Malformed genitalia	Malformed genitalia	Malformed genitalia	Malformed genitalia	Malformed genitalia	Malformed genitalia	Malformed genitalia	Malformed genitalia	Malformed genitalia	Malformed genitalia	Malformed genitalia																
gest_imp														Gestation Imputed Flag U;R	Gestation Imputed Flag U;R	Gestation Imputed Flag U;R	Gestation Imputed Flag U;R	Gestation Imputed Flag U;R	Gestation Imputed Flag U;R	Gestation Imputed Flag U;R	Gestation Imputed Flag U;R	Gestation Imputed Flag U;R	Gestation Imputed Flag U;R	Gestation Imputed Flag U;R					
gestat10	Gestation Recode 10	Gestation Recode 10	Gestation Recode 10	Gestation Recode 10	Gestation Recode 10	Gestation Recode 10	Gestation Recode 10	Gestation Recode 10	Gestation Recode 10	Gestation Recode 10	Gestation Recode 10	Gestation Recode 10	Gestation Recode 10																
gestat3	Gestation Recode 3	Gestation Recode 3	Gestation Recode 3	Gestation Recode 3	Gestation Recode 3	Gestation Recode 3	Gestation Recode 3	Gestation Recode 3	Gestation Recode 3	Gestation Recode 3	Gestation Recode 3	Gestation Recode 3	Gestation Recode 3																
geste	Clinical estimate of gestation	Clinical estimate of gestation	Clinical estimate of gestation	Clinical estimate of gestation	Clinical estimate of gestation	Clinical estimate of gestation	Clinical estimate of gestation	Clinical estimate of gestation	Clinical estimate of gestation	Clinical estimate of gestation	Clinical estimate of gestation	Clinical estimate of gestation	Clinical estimate of gestation																
gestestm	Clinical Estimate of Gestation Flag	Clinical Estimate of Gestation Flag	Clinical Estimate of Gestation Flag	Clinical Estimate of Gestation Flag	Clinical Estimate of Gestation Flag	Clinical Estimate of Gestation Flag	Clinical Estimate of Gestation Flag	Clinical Estimate of Gestation Flag	Clinical Estimate of Gestation Flag	Clinical Estimate of Gestation Flag	Clinical Estimate of Gestation Flag	Clinical Estimate of Gestation Used Flag	Clinical Estimate of Gestation Used Flag																
gestimp	Gestation Imputation Flag	Gestation Imputation Flag	Gestation Imputation Flag	Gestation Imputation Flag	Gestation Imputation Flag	Gestation Imputation Flag	Gestation Imputation Flag	Gestation Imputation Flag	Gestation Imputation Flag	Gestation Imputation Flag	Gestation Imputation Flag	Gestation Imputation Flag	Gestation Imputation Flag																
gestrec10														Gestation Recode 10 U;R	Gestation Recode 10 U;R	Gestation Recode 10 U;R	Gestation Recode 10 U;R	Gestation Recode 10 U;R	Gestation Recode 10 U;R	Gestation Recode 10 U;R	Gestation Recode 10 U;R	Gestation Recode 10 U;R	Gestation Recode 10 U;R	Gestation Recode 10 U;R	Combined Gestation Recode 10 01 Under 20 weeks	Combined Gestation Recode 10 01 Under 20 weeks	Combined Gestation Recode 10 01 Under 20 weeks	Combined Gestation Recode 10 01 Under 20 weeks	Combined Gestation Recode 10 01 Under 20 weeks
gestrec3														Gestation Recode 3 U;R	Gestation Recode 3 U;R	Gestation Recode 3 U;R	Gestation Recode 3 U;R	Gestation Recode 3 U;R	Gestation Recode 3 U;R	Gestation Recode 3 U;R	Gestation Recode 3 U;R	Gestation Recode 3 U;R	Gestation Recode 3 U;R	Gestation Recode 3 U;R	Combined Gestation Recode 3 1 Under 37 weeks	Combined Gestation Recode 3 1 Under 37 weeks	Combined Gestation Recode 3 1 Under 37 weeks	Combined Gestation Recode 3 1 Under 37 weeks	Combined Gestation Recode 3 1 Under 37 weeks
heart	Heart malformations	Heart malformations	Heart malformations	Heart malformations	Heart malformations	Heart malformations	Heart malformations	Heart malformations	Heart malformations	Heart malformations	Heart malformations	Heart malformations	Heart malformations																
hemo	Hemoglobinopathy	Hemoglobinopathy	Hemoglobinopathy	Hemoglobinopathy	Hemoglobinopathy	Hemoglobinopathy	Hemoglobinopathy	Hemoglobinopathy	Hemoglobinopathy	Hemoglobinopathy	Hemoglobinopathy	Hemoglobinopathy	Hemoglobinopathy																
hernia	Diaphragmatic hernia	Diaphragmatic hernia	Diaphragmatic hernia	Diaphragmatic hernia	Diaphragmatic hernia	Diaphragmatic hernia	Diaphragmatic hernia	Diaphragmatic hernia	Diaphragmatic hernia	Diaphragmatic hernia	Diaphragmatic hernia	Diaphragmatic hernia	Diaphragmatic hernia																
herpes	Herpes	Herpes	Herpes	Herpes	Herpes	Herpes	Herpes	Herpes	Herpes	Herpes	Herpes	Genital herpes	Genital herpes																
hyaline	Hyaline membrane disease	Hyaline membrane disease	Hyaline membrane disease	Hyaline membrane disease	Hyaline membrane disease	Hyaline membrane disease	Hyaline membrane disease	Hyaline membrane disease	Hyaline membrane disease	Hyaline membrane disease	Hyaline membrane disease	Hyaline membrane disease	Hyaline membrane disease																
hydra	Hydramnios/Oligohydramnios	Hydramnios/Oligohydramnios	Hydramnios/Oligohydramnios	Hydramnios/Oligohydramnios	Hydramnios/Oligohydramnios	Hydramnios/Oligohydramnios	Hydramnios/Oligohydramnios	Hydramnios/Oligohydramnios	Hydramnios/Oligohydramnios	Hydramnios/Oligohydramnios	Hydramnios/Oligohydramnios	Hydramnios/Oligohydramnios	Hydramnios/Oligohydramnios																
hydro	Hydrocephalus	Hydrocephalus	Hydrocephalus	Hydrocephalus	Hydrocephalus	Hydrocephalus	Hydrocephalus	Hydrocephalus	Hydrocephalus	Hydrocephalus	Hydrocephalus	Hydrocephalus	Hydrocephalus																
ilive																				ant Living at Time of Report RFP 571=? R	ant Living at Time of Report RFP 571=? R	ant Living at Time of Report RFP 571=? R	ant Living at Time of Report RFP 571=? R	ant Living at Time of Report RFP 571=? R	ant Living at Time of Report Y Yes	ant Living at Time of Report Y Yes	ant Living at Time of Report Y Yes	ant Living at Time of Report Y Yes	ant Living at Time of Report Y Yes
illb_r																				Interval Since Last Live Birth Recode RFP 571=? R	Interval Since Last Live Birth Recode RFP 571=? R	Interval Since Last Live Birth Recode RFP 571=? R	Interval Since Last Live Birth Recode RFP 571=? R	Interval Since Last Live Birth Recode RFP 571=? R	Interval Since Last Live Birth Recode 000-003 Plural delivery	Interval Since Last Live Birth Recode 000-003 Plural delivery	Interval Since Last Live Birth Recode 000-003 Plural delivery	Interval Since Last Live Birth Recode 000-003 Plural delivery	Interval Since Last Live Birth Recode 000-003 Plural delivery
illb_r11																				Interval Since Last Live Birth Recode 11 RFP 571=? R	Interval Since Last Live Birth Recode 11 RFP 571=? R	Interval Since Last Live Birth Recode 11 RFP 571=? R	Interval Since Last Live Birth Recode 11 RFP 571=? R	Interval Since Last Live Birth Recode 11 RFP 571=? R	Interval Since Last Live Birth Recode 11 00 Zero to 3 months (plural de	Interval Since Last Live Birth Recode 11 00 Zero to 3 months (plural de	Interval Since Last Live Birth Recode 11 00 Zero to 3 months (plural de	Interval Since Last Live Birth Recode 11 00 Zero to 3 months (plural de	Interval Since Last Live Birth Recode 11 00 Zero to 3 months (plural de
ilop_r																				Interval Since Last Other Pregnancy Outcome RFP 571=? R	Interval Since Last Other Pregnancy Outcome RFP 571=? R	Interval Since Last Other Pregnancy Outcome RFP 571=? R	Interval Since Last Other Pregnancy Outcome RFP 571=? R	Interval Since Last Other Pregnancy Outcome RFP 571=? R	Interval Since Last Other Pregnancy Recode 000-003 Plural delivery	Interval Since Last Other Pregnancy Recode 000-003 Plural delivery	Interval Since Last Other Pregnancy Recode 000-003 Plural delivery	Interval Since Last Other Pregnancy Recode 000-003 Plural delivery	Interval Since Last Other Pregnancy Recode 000-003 Plural delivery
ilop_r11																				Interval Since Last Other Pregnancy Outcome Recode 11 RFP 571=? R	Interval Since Last Other Pregnancy Outcome Recode 11 RFP 571=? R	Interval Since Last Other Pregnancy Outcome Recode 11 RFP 571=? R	Interval Since Last Other Pregnancy Outcome Recode 11 RFP 571=? R	Interval Since Last Other Pregnancy Outcome Recode 11 RFP 571=? R	Interval Since Last Other Pregnancy Recode 11 00 Zero to 3 months (plural de	Interval Since Last Other Pregnancy Recode 11 00 Zero to 3 months (plural de	Interval Since Last Other Pregnancy Recode 11 00 Zero to 3 months (plural de	Interval Since Last Other Pregnancy Recode 11 00 Zero to 3 months (plural de	Interval Since Last Other Pregnancy Recode 11 00 Zero to 3 months (plural de
ilp																				Interval Since Last Pregnancy RFP 571=? R	Interval Since Last Pregnancy RFP 571=? R	Interval Since Last Pregnancy RFP 571=? R	Interval Since Last Pregnancy RFP 571=? R	Interval Since Last Pregnancy RFP 571=? R					
ilp_r																									Interval Since Last Pregnancy Recode 000-003 Plural delivery	Interval Since Last Pregnancy Recode 000-003 Plural delivery	Interval Since Last Pregnancy Recode 000-003 Plural delivery	Interval Since Last Pregnancy Recode 000-003 Plural delivery	Interval Since Last Pregnancy Recode 000-003 Plural delivery
ilp_r11																				Interval Since Last Pregnancy Recode 11 RFP 571=? R	Interval Since Last Pregnancy Recode 11 RFP 571=? R	Interval Since Last Pregnancy Recode 11 RFP 571=? R	Interval Since Last Pregnancy Recode 11 RFP 571=? R	Interval Since Last Pregnancy Recode 11 RFP 571=? R	Interval Since Last Pregnancy Recode 11 00 Zero to 3 months (plural de	Interval Since Last Pregnancy Recode 11 00 Zero to 3 months (plural de	Interval Since Last Pregnancy Recode 11 00 Zero to 3 months (plural de	Interval Since Last Pregnancy Recode 11 00 Zero to 3 months (plural de	Interval Since Last Pregnancy Recode 11 00 Zero to 3 months (plural de
ilpcv_dob																				Interval Between Last Prenatal Care Visit &amp; Date of Delivery RFP 700=f_ilpcv_dob R	Interval Between Last Prenatal Care Visit &amp; Date of Delivery RFP 700=f_ilpcv_dob R	Interval Between Last Prenatal Care Visit &amp; Date of Delivery RFP 700=f_ilpcv_dob R	Interval Between Last Prenatal Care Visit &amp; Date of Delivery RFP 700=f_ilpcv_dob R	Interval Between Last Prenatal Care Visit &amp; Date of Delivery RFP 700=f_ilpcv_dob R					
imp_plur														Plurality Imputed U;R	Plurality Imputed U;R	Plurality Imputed U;R	Plurality Imputed U;R	Plurality Imputed U;R	Plurality Imputed U;R	Plurality Imputed U;R	Plurality Imputed U;R	Plurality Imputed U;R	Plurality Imputed U;R	Plurality Imputed U;R	Plurality Imputed Blank Plurality is imputed	Plurality Imputed Blank Plurality is imputed	Plurality Imputed Blank Plurality is imputed	Plurality Imputed Blank Plurality is imputed	Plurality Imputed Blank Plurality is imputed
imp_sex														Imputed Sex U;R	Imputed Sex U;R	Imputed Sex U;R	Imputed Sex U;R	Imputed Sex U;R	Imputed Sex U;R	Imputed Sex U;R	Imputed Sex U;R	Imputed Sex U;R	Imputed Sex U;R	Imputed Sex U;R	Imputed Sex Blank Infant Sex not Imputed	Imputed Sex Blank Infant Sex not Imputed	Imputed Sex Blank Infant Sex not Imputed	Imputed Sex Blank Infant Sex not Imputed	Imputed Sex Blank Infant Sex not Imputed
incervix	Incompetent cervix	Incompetent cervix	Incompetent cervix	Incompetent cervix	Incompetent cervix	Incompetent cervix	Incompetent cervix	Incompetent cervix	Incompetent cervix	Incompetent cervix	Incompetent cervix	Incompetent cervix	Incompetent cervix																
induct	Induction of labor	Induction of labor	Induction of labor	Induction of labor	Induction of labor	Induction of labor	Induction of labor	Induction of labor	Induction of labor	Induction of labor	Induction of labor	Induction of labor	Induction of labor																
injury	Injury	Injury	Injury	Injury	Injury	Injury	Injury	Injury	Injury	Injury	Injury	Birth injury	Birth injury																
ip_chlam																						_ip_chlam R	_ip_chlam R	_ip_chlam R					
ip_gon																													
ip_gono																						_ip_gonor R	_ip_gonor R	_ip_gonor R					
ip_hepatb																						_ip_hepatb R	_ip_hepatb R	_ip_hepatb R					
ip_hepatc																						_ip_hepatc R	_ip_hepatc R	_ip_hepatc R					
ip_syph																						_ip_syph) R	_ip_syph) R	_ip_syph) R					
isllb10	Interval since last live birth Recode 10	Interval since last live birth Recode 10	Interval since last live birth Recode 10	Interval since last live birth Recode 10	Interval since last live birth Recode 10 (dropped 1994 bust still in PDF doc)																								
itran																				ant Transferred RFP 571=? R	ant Transferred RFP 571=? R	ant Transferred RFP 571=? R	ant Transferred RFP 571=? R	ant Transferred RFP 571=? R	ant Transferred Y Yes	ant Transferred Y Yes	ant Transferred Y Yes	ant Transferred Y Yes	ant Transferred Y Yes
lbo														Live Birth Order U;R	Live Birth Order U;R	Live Birth Order U;R													
lbo_rec														Live Birth Order Recode U;R	Live Birth Order Recode U;R	Live Birth Order Recode U;R	Live Birth Order Recode U;R	Live Birth Order Recode U;R	Live Birth Order Recode U;R	Live Birth Order Recode U;R	Live Birth Order Recode U;R	Live Birth Order Recode U;R	Live Birth Order Recode U;R	Live Birth Order Recode U;R	Live Birth Order Recode 1-7 Number of live birth order.	Live Birth Order Recode 1-7 Number of live birth order.	Live Birth Order Recode 1-7 Number of live birth order.	Live Birth Order Recode 1-7 Number of live birth order.	Live Birth Order Recode 1-7 Number of live birth order.
ld_anes															_ld_anesth R		_ld_anesth R	_ld_anesth R	_ld_anesth R	_ld_anesth R	_ld_anesth R	_ld_anesth R	_ld_anesth R	_ld_anesth R					
ld_antb																													
ld_anti															_ld_antibio R		_ld_antibio R	_ld_antibio R	_ld_antibio R	_ld_antibio R	_ld_antibio R	_ld_antibio R	_ld_antibio R	_ld_antibio R					
ld_augm															Labor RFP 609=f_ld_augment R		Labor RFP 609=f_ld_augment R	Labor RFP 609=f_ld_augment R	Labor RFP 609=f_ld_augment R	Labor RFP 609=f_ld_augment R	Labor RFP 609=f_ld_augment R	Labor RFP 609=f_ld_augment R	Labor RFP 609=f_ld_augment R	Labor RFP 609=f_ld_augment R	Labor Y Yes	Labor Y Yes	Labor Y Yes	Labor Y Yes	Labor Y Yes
ld_chor															_ld_chorio R		_ld_chorio R	_ld_chorio R	_ld_chorio R	_ld_chorio R	_ld_chorio R	_ld_chorio R	_ld_chorio R	_ld_chorio R					
ld_fint															_ld_fintol R		_ld_fintol R	_ld_fintol R	_ld_fintol R	_ld_fintol R	_ld_fintol R	_ld_fintol R	_ld_fintol R	_ld_fintol R					
ld_indl															Labor RFP 608=f_ld_induct R		Labor RFP 608=f_ld_induct R	Labor RFP 608=f_ld_induct R	Labor RFP 608=f_ld_induct R	Labor RFP 608=f_ld_induct R	Labor RFP 608=f_ld_induct R	Labor RFP 608=f_ld_induct R	Labor RFP 608=f_ld_induct R	Labor RFP 608=f_ld_induct R	Labor Y Yes	Labor Y Yes	Labor Y Yes	Labor Y Yes	Labor Y Yes
ld_mecs															_ld_mecon R		_ld_mecon R	_ld_mecon R	_ld_mecon R	_ld_mecon R	_ld_mecon R	_ld_mecon R	_ld_mecon R	_ld_mecon R					
ld_nvpr															_ld_nvrtx R		_ld_nvrtx R	_ld_nvrtx R	_ld_nvrtx R										
ld_ster															_ld_steroids R		_ld_steroids R	_ld_steroids R	_ld_steroids R	_ld_steroids R	_ld_steroids R	_ld_steroids R	_ld_steroids R	_ld_steroids R					
livord9	Live Birth Order Recode	Live Birth Order Recode	Live Birth Order Recode	Live Birth Order Recode	Live Birth Order Recode	Live Birth Order Recode	Live Birth Order Recode	Live Birth Order Recode	Live Birth Order Recode	Live Birth Order Recode	Live Birth Order Recode	Live Birth Order Recode	Live Birth Order Recode																
llbmon	Month of Last Live Birth	Month of Last Live Birth	Month of Last Live Birth	Month of Last Live Birth	Month of Last Live Birth (dropped 1994 but still in PDF doc)																								
llbyr	Year of Last Live Birth	Year of Last Live Birth	Year of Last Live Birth	Year of Last Live Birth	Year of Last Live Birth (dropped 1994 but still in PDF doc)																								
lmpday	Day Last Normal Menses Began	Day Last Normal Menses Began	Day Last Normal Menses Began	Day Last Normal Menses Began	Day Last Normal Menses Began	Day Last Normal Menses Began	Day Last Normal Menses Began	Day Last Normal Menses Began	Day Last Normal Menses Began	Day Last Normal Menses Began	Day Last Normal Menses Began	Day Last Normal Menses Began	Day Last Normal Menses Began																
lmpmon	Month Last Normal Menses Began	Month Last Normal Menses Began	Month Last Normal Menses Began	Month Last Normal Menses Began	Month Last Normal Menses Began	Month Last Normal Menses Began	Month Last Normal Menses Began	Month Last Normal Menses Began	Month Last Normal Menses Began	Month Last Normal Menses Began	Month Last Normal Menses Began	Month Last Normal Menses Began	Month Last Normal Menses Began																
lmpused																									Combined Gestation Used Flag Blank Combined gestation not used	Combined Gestation Used Flag Blank Combined gestation not used	Combined Gestation Used Flag Blank Combined gestation not used	Combined Gestation Used Flag Blank Combined gestation not used	Combined Gestation Used Flag Blank Combined gestation not used
lmpyr	Year Last Normal Menses Began	Year Last Normal Menses Began	Year Last Normal Menses Began	Year Last Normal Menses Began	Year Last Normal Menses Began	Year Last Normal Menses Began	Year Last Normal Menses Began	Year Last Normal Menses Began	Year Last Normal Menses Began	Year Last Normal Menses Began	Year Last Normal Menses Began	Year Last Normal Menses Began	Year Last Normal Menses Began																
lung	Acute or chronic lung disease	Acute or chronic lung disease	Acute or chronic lung disease	Acute or chronic lung disease	Acute or chronic lung disease	Acute or chronic lung disease	Acute or chronic lung disease	Acute or chronic lung disease	Acute or chronic lung disease	Acute or chronic lung disease	Acute or chronic lung disease	Acute or chronic lung disease	Acute or chronic lung disease																
m_ht_in																				Mother's Height in Inches RFP 576=f_m_ht R	Mother's Height in Inches RFP 576=f_m_ht R	Mother's Height in Inches RFP 576=f_m_ht R	Mother's Height in Inches RFP 576=f_m_ht R	Mother's Height in Inches RFP 576=f_m_ht R	Mother's Height in Total Inches 30-78 Height in inches	Mother's Height in Total Inches 30-78 Height in inches	Mother's Height in Total Inches 30-78 Height in inches	Mother's Height in Total Inches 30-78 Height in inches	Mother's Height in Total Inches 30-78 Height in inches
mage12	Age of Mother recode 12	Age of Mother recode 12	Age of Mother recode 12	Age of Mother recode 12	Age of Mother recode 12	Age of Mother recode 12	Age of Mother recode 12	Age of Mother recode 12	Age of Mother recode 12	Age of Mother recode 12	Age of Mother recode 12	Age of Mother Recode 12	Age of Mother Recode 12																
mage36	Age of Mother recode 36	Age of Mother recode 36	Age of Mother recode 36	Age of Mother recode 36	Age of Mother recode 36	Age of Mother recode 36	Age of Mother recode 36	Age of Mother recode 36	Age of Mother recode 36	Age of Mother recode 36	Age of Mother recode 36	Age of Mother Recode 36	Age of Mother Recode 36																
mage8	Age of Mother recode 8	Age of Mother recode 8	Age of Mother recode 8	Age of Mother recode 8	Age of Mother recode 8	Age of Mother recode 8	Age of Mother recode 8	Age of Mother recode 8	Age of Mother recode 8	Age of Mother recode 8	Age of Mother recode 8	Age of Mother Recode 8	Age of Mother Recode 8																
mage_impflg														Mother's Age Imputated Flag U;R	Mother's Age Imputated Flag U;R	Mother's Age Imputated Flag U;R	Mother's Age Imputated Flag U;R	Mother's Age Imputated Flag U;R	Mother's Age Imputated Flag U;R	Mother's Age Imputated Flag U;R	Mother's Age Imputated Flag U;R	Mother's Age Imputated Flag U;R	Mother's Age Imputated Flag U;R	Mother's Age Imputated Flag U;R	Mother's Age Imputed Blank Age not imputed	Mother's Age Imputed Blank Age not imputed	Mother's Age Imputed Blank Age not imputed	Mother's Age Imputed Blank Age not imputed	Mother's Age Imputed Blank Age not imputed
mage_repflg														Reported Age of Mother Flag U;R	Reported Age of Mother Flag U;R	Reported Age of Mother Flag U;R	Reported Age of Mother Flag U;R	Reported Age of Mother Flag U;R	Reported Age of Mother Flag U;R	Reported Age of Mother Flag U;R	Reported Age of Mother Flag U;R	Reported Age of Mother Flag U;R	Reported Age of Mother Flag U;R	Reported Age of Mother Flag U;R	Reported Age of Mother Used Flag Blank Reported age not used	Reported Age of Mother Used Flag Blank Reported age not used	Reported Age of Mother Used Flag Blank Reported age not used	Reported Age of Mother Used Flag Blank Reported age not used	Reported Age of Mother Used Flag Blank Reported age not used
mageimp	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag	Mother Imputation Flag																
mager															Mother's Single Year of Age U;R	Mother's Single Year of Age U;R	Mother's Single Year of Age U;R	Mother's Single Year of Age U;R	Mother's Single Year of Age U;R	Mother's Single Year of Age U;R	Mother's Single Year of Age U;R	Mother's Single Year of Age U;R	Mother's Single Year of Age U;R	Mother's Single Year of Age U;R	Mother's Single Years of Age 12 10 - 12 years	Mother's Single Years of Age 12 10 -- 12 years	Mother's Single Years of Age 12 10 -- 12 years	Mother's Single Years of Age 12 10 -- 12 years	Mother's Single Years of Age 12 10 -- 12 years
mager14														Mother's Age Recode 14 U;R	Mother's Age Recode 14 U;R	Mother's Age Recode 14 U;R	Mother's Age Recode 14 U;R	Mother's Age Recode 14 U;R	Mother's Age Recode 14 U;R	Mother's Age Recode 14 U;R	Mother's Age Recode 14 U;R	Mother's Age Recode 14 U;R	Mother's Age Recode 14 U;R	Mother's Age Recode 14 U;R	Mother's Age Recode 14 01 Under 15 Years	Mother's Age Recode 14 01 Under 15 Years	Mother's Age Recode 14 01 Under 15 Years	Mother's Age Recode 14 01 Under 15 Years	Mother's Age Recode 14 01 Under 15 Years
mager41														Mother's Age Recode 41 U;R															
mager9														Mother's Age Recode 9 U;R	Mother's Age Recode 9 U;R	Mother's Age Recode 9 U;R	Mother's Age Recode 9 U;R	Mother's Age Recode 9 U;R	Mother's Age Recode 9 U;R	Mother's Age Recode 9 U;R	Mother's Age Recode 9 U;R	Mother's Age Recode 9 U;R	Mother's Age Recode 9 U;R	Mother's Age Recode 9 U;R	Mother's Age Recode 9 1 Under 15 years	Mother's Age Recode 9 1 Under 15 years	Mother's Age Recode 9 1 Under 15 years	Mother's Age Recode 9 1 Under 15 years	Mother's Age Recode 9 1 Under 15 years
magerflg	Reported Age of Mother Used Flag	Reported Age of Mother Used Flag	Reported Age of Mother Used Flag	Reported Age of Mother Used Flag	Reported Age of Mother Used Flag	Reported Age of Mother Used Flag	Reported Age of Mother Used Flag	Reported Age of Mother Used Flag	Reported Age of Mother Used Flag	Reported Age of Mother Used Flag	Reported Age of Mother Used Flag	Reported Age of Mother Used Flag	Reported Age of Mother Used Flag																
